	Otu004_Prorocentrum	Otu008_Dinophyceae_X	Otu012_Gonyaulax	Otu015_Dinophyceae_X	Otu027_Karlodinium	Otu034_Dinophyceae_X	Otu040_Dinophyceae_X	Otu042_Dinophyceae_X	Otu001_Ostreococcus	Otu003_Bathycoccus	Otu025_Micromonas	Otu044_Micromonas	Otu032_Prasino_Clade_VII_A_4_X	Otu033_Ulva	Otu030_Teleaulax	Otu002_UCYN_A1_host	Otu009_Chrysochromulina	Otu020_Braarudosphaera	Otu022_Syracosphaera	Otu028_Emiliania	Otu039_Algirosphaera	Otu072_Prymnesiales_X	Otu005_Thalassiosira	Otu006_Pseudo_nitzschia	Otu023_Bacillariophyceae_X	Otu026_Cylindrotheca	Otu011_Chrysophyceae_Clade_C_X	Otu014_Chrysophyceae_Clade_G_X	Otu035_Chrysophyceae_Clade_G_X	Otu038_Chrysophyceae_Clade_G_X	Otu041_Chrysophyceae_Clade_I_X	Otu018_Pedinellales_X	Otu007_Pelagomonas	Otu001_nifH_UCYN_A1	Otu002_nifH_UCYN_A2	Otu004_nifH_UCYN_A3	Otu010_nifH_UCYN_A4
Otu004_Prorocentrum	1.0	-0.0202491453417	-0.177938997191	0.00588776963376	0.0617609372253	-0.06069668163	0.277882687925	0.00544577041009	0.316982863014	0.133567627186	0.147947382801	0.0133658090814	-0.0476765502396	-0.0859045233503	-0.0012258821885	-0.104512961474	-0.0719647328377	0.199541145869	-0.25582991695	-0.0557518570493	0.186980717922	-0.0360012662438	0.0988891393677	0.22873363149	-0.224742741885	-0.124550923008	0.203308642801	-0.191348706864	-0.0227262974248	-0.0473852041689	-0.0866348186373	-0.0467510715271	-0.0126537706243	-0.345712453758	0.0584942505085	-0.0906629867139	0.277546910666
Otu008_Dinophyceae_X	-0.0202491453417	1.0	0.0870063939942	0.141576351746	-0.22975975207	-0.178041315419	0.0559447592824	-0.142991927478	-0.109013528106	-0.130129736069	0.04291115645	-0.197655009829	-0.0107261704007	0.102293935582	-0.0799054791037	0.0268994212131	-0.144462186435	-0.0179406275863	-0.0292271958297	0.281577587125	0.026112253556	-0.142070950761	0.131530915468	0.0907009183651	-0.0658097447206	-0.0245273982405	0.228001157861	0.286308320682	-0.134749638498	0.274762522215	0.0664343108483	0.213834964491	0.0902176508642	-0.0148811070783	-0.163184897761	-0.218371741664	-0.0778954281495
Otu012_Gonyaulax	-0.177938997191	0.0870063939942	1.0	-0.151102924724	-0.286648203569	0.172348223267	0.0117392937124	-0.0529777645064	-0.243985312384	-0.0529952604114	-0.0909487481753	-0.25932084891	-0.0766877023238	-0.064758728306	0.0229182353639	0.25676352906	0.0774013076352	0.131699659303	0.25103904734	0.0444090802241	0.0880488410136	-0.108253761411	0.224545688606	0.00998912206858	0.182381925512	-0.10400013432	-0.27356076602	0.11081242715	-0.0952241093321	0.0286034478547	0.0732711890767	0.0325776324852	0.00670062273733	0.171078507752	-0.177291281953	0.145286013595	-0.0747929323462
Otu015_Dinophyceae_X	0.00588776963376	0.141576351746	-0.151102924724	1.0	0.200141550146	0.0296278752865	0.0169382888997	-0.100205388303	0.010676523669	0.190389515463	0.00131163787926	0.172275828831	-0.0166978215317	0.0398814227683	0.0433142553135	0.182120073954	-0.0520031208426	-0.153901079006	-0.0587284710327	-0.110588079607	-0.0669105701888	0.0382173048951	0.0334798398665	0.0169174042499	-0.180101036055	0.0295493360879	0.142728425899	-0.0258167909333	-0.143246201701	-0.0507743744093	-0.176289703238	0.039040743211	0.0543381074749	0.0843913980004	-0.172876360433	-0.0126984879104	0.0785128296475
Otu027_Karlodinium	0.0617609372253	-0.22975975207	-0.286648203569	0.200141550146	1.0	-0.174204407042	-0.033210719157	0.0978553778474	0.411067663256	0.46734882496	0.160128908825	0.403930987364	0.203670294353	-0.0247687260064	-0.0578978214606	-0.0460770259639	0.032389591913	-0.0185620095188	-0.0825404729514	-0.112101025261	-0.0640271173723	0.0102062157151	-0.0208914474235	-0.10446054785	-0.0141250773183	0.0534869604942	0.167355178074	-0.0565228687976	-0.0696742754027	-0.109355231726	-0.110986858571	-0.0406472955355	0.273155310597	-0.201746598224	-0.0243178518043	0.0614984480639	-0.0280666654768
Otu034_Dinophyceae_X	-0.06069668163	-0.178041315419	0.172348223267	0.0296278752865	-0.174204407042	1.0	-0.100354671403	0.172698958837	-0.256300725279	0.0332723461378	-0.0491601117917	-0.0861182399038	-0.0495126062059	-0.0639761692022	0.398501754465	0.0285758699638	-0.0797284305804	0.0173353032503	-0.00822589730371	0.115651262513	-0.0618529556167	0.142212348917	-0.103948014596	0.0548507455441	0.212528577649	-0.0400142420061	-0.0912669570922	-0.114849589256	0.103917894782	-0.137178309182	0.223616370716	-0.124270990891	0.0112284714718	0.155861887456	-0.103525493221	0.114550675053	0.00254567240242
Otu040_Dinophyceae_X	0.277882687925	0.0559447592824	0.0117392937124	0.0169382888997	-0.033210719157	-0.100354671403	1.0	-0.0154053009752	0.103453924475	-0.0803228807869	0.0499181690809	0.144181352692	-0.237589334677	-0.0488859118381	-0.0497443552787	-0.154907033027	-0.0227101974964	0.180078648755	-0.0214864464395	-0.0899939026025	0.27558130568	0.229000082573	0.0583474775854	-0.0743319014791	-0.112207739458	0.0372798203624	-0.121081015206	-0.0934725794904	-0.168765820373	-0.0697664688792	0.00228650620612	0.174341966126	0.0145776500623	-0.094919742151	-0.0593931207215	-0.191780959914	0.249853480178
Otu042_Dinophyceae_X	0.00544577041009	-0.142991927478	-0.0529777645064	-0.100205388303	0.0978553778474	0.172698958837	-0.0154053009752	1.0	0.265063697814	0.392322043431	0.451168583954	0.000330762711638	0.0832642019617	-0.0383185835385	-0.0278353442321	-0.0218930344735	-0.0427559205956	0.291977593874	0.153382199313	-0.0302417215065	0.153860134389	-0.141342452561	-0.178213569788	-0.112532592151	-0.0020333287406	0.012276683464	-0.0133149850643	-0.286910775623	-0.0551604869813	-0.175988557587	-0.110313333375	-0.153444853896	-0.0154861953815	-0.209350134047	0.0700690995135	0.327141520788	-0.0260444098987
Otu001_Ostreococcus	0.316982863014	-0.109013528106	-0.243985312384	0.010676523669	0.411067663256	-0.256300725279	0.103453924475	0.265063697814	1.0	0.494434870879	0.171088205763	0.287417285093	0.0682531915879	-0.15147720768	-0.178535947625	-0.190429297212	-0.0717506112969	0.14080624408	-0.10585770436	-0.0846849937163	0.0965447925769	-0.193157132282	0.137852072129	-0.0122672437509	-0.321907341455	-0.223549475624	0.00754212484302	-0.0499728627775	-0.0391025298056	-0.0312960492746	-0.269623954384	-0.00542307669269	0.324186140104	-0.605615676764	-0.000387587723309	0.115739355464	0.116929428364
Otu003_Bathycoccus	0.133567627186	-0.130129736069	-0.0529952604114	0.190389515463	0.46734882496	0.0332723461378	-0.0803228807869	0.392322043431	0.494434870879	1.0	0.438709931506	0.313253479963	0.256090522201	-0.112617719813	-0.00345290652433	-0.0265077808196	-0.17166841997	0.126749084916	-0.103747191036	-0.0437182551098	-0.0782463877032	-0.283094144601	-0.0645024538022	-0.0969330134457	0.0454845318254	-0.0911525406901	0.236717871598	-0.166612368329	0.0849731150801	-0.227068711022	-0.271392548383	-0.126552859981	0.25515282963	-0.255280208581	0.0107396175378	0.283974557539	-0.144924295828
