	Otu004_Prorocentrum	Otu008_Dinophyceae_X	Otu012_Gonyaulax	Otu015_Dinophyceae_X	Otu027_Karlodinium	Otu034_Dinophyceae_X	Otu040_Dinophyceae_X	Otu042_Dinophyceae_X	Otu001_Ostreococcus	Otu003_Bathycoccus	Otu025_Micromonas	Otu044_Micromonas	Otu032_Prasino_Clade_VII_A_4_X	Otu033_Ulva	Otu030_Teleaulax	Otu002_UCYN_A1_host	Otu009_Chrysochromulina	Otu020_Braarudosphaera	Otu022_Syracosphaera	Otu028_Emiliania	Otu039_Algirosphaera	Otu072_Prymnesiales_X	Otu005_Thalassiosira	Otu006_Pseudo_nitzschia	Otu023_Bacillariophyceae_X	Otu026_Cylindrotheca	Otu011_Chrysophyceae_Clade_C_X	Otu014_Chrysophyceae_Clade_G_X	Otu035_Chrysophyceae_Clade_G_X	Otu038_Chrysophyceae_Clade_G_X	Otu041_Chrysophyceae_Clade_I_X	Otu018_Pedinellales_X	Otu007_Pelagomonas	Otu001_nifH_UCYN_A1	Otu002_nifH_UCYN_A2	Otu004_nifH_UCYN_A3	Otu010_nifH_UCYN_A4
Otu009_Chrysochromulina	0.52	0.29	0.53	0.71	0.83	0.5	0.86	0.68	0.58	0.1	0.17	0.72	0.21	0.73	0.02	0.0	1.0	0.37	0.0	0.9	0.17	0.13	0.47	0.61	0.83	0.65	0.81	0.35	0.31	0.89	0.7	0.2	0.17	0.37	0.25	0.67	0.72
Otu020_Braarudosphaera	0.11	0.88	0.25	0.3	0.89	0.85	0.15	0.0	0.28	0.35	0.54	0.98	0.84	0.64	0.44	0.13	0.37	1.0	0.46	0.14	0.0	0.6	0.03	0.83	0.21	0.6	0.05	0.16	0.7	0.04	0.04	0.48	0.73	0.08	0.02	0.15	0.03
Otu022_Syracosphaera	0.05	0.85	0.03	0.63	0.53	0.9	0.89	0.11	0.46	0.42	0.55	0.16	0.13	0.54	0.88	0.13	0.0	0.46	1.0	0.87	0.03	0.19	0.27	0.86	0.54	0.85	0.63	0.95	0.09	0.77	0.37	0.54	0.59	0.03	0.62	0.18	0.68
Otu028_Emiliania	0.71	0.02	0.73	0.42	0.38	0.39	0.36	0.76	0.57	0.81	0.88	0.05	0.03	0.89	0.01	0.52	0.9	0.14	0.87	1.0	0.35	0.89	0.02	0.0	0.44	0.6	0.77	0.59	0.7	0.69	0.0	0.57	0.16	0.66	0.0	0.12	0.09
Otu039_Algirosphaera	0.12	0.89	0.43	0.52	0.56	0.54	0.0	0.17	0.39	0.67	0.81	0.9	0.95	0.76	0.74	0.1	0.17	0.0	0.03	0.35	1.0	0.65	0.36	0.26	0.66	0.65	0.71	0.35	0.1	0.15	0.47	0.34	0.38	0.37	0.41	0.36	0.03
Otu072_Prymnesiales_X	0.69	0.23	0.29	0.74	0.96	0.16	0.05	0.18	0.14	0.0	0.02	0.55	0.27	0.03	0.58	0.07	0.13	0.6	0.19	0.89	0.65	1.0	0.42	0.46	0.42	0.08	0.36	0.54	0.31	0.6	0.06	0.24	0.14	0.68	0.46	0.1	0.02
Otu005_Thalassiosira	0.48	0.26	0.03	0.75	0.87	0.31	0.54	0.09	0.28	0.69	0.92	0.29	0.3	0.43	0.0	0.46	0.47	0.03	0.27	0.02	0.36	0.42	1.0	0.0	0.36	0.66	0.12	0.81	0.55	0.17	0.17	0.33	0.1	0.52	0.17	0.96	0.54
Otu006_Pseudo_nitzschia	0.07	0.47	0.92	0.89	0.33	0.54	0.46	0.29	0.92	0.53	0.86	0.09	0.42	0.03	0.0	0.32	0.61	0.83	0.86	0.0	0.26	0.46	0.0	1.0	0.57	0.15	0.77	0.53	0.87	0.81	0.33	0.01	0.58	0.39	0.44	0.95	0.27
Otu023_Bacillariophyceae_X	0.14	0.59	0.1	0.14	0.89	0.06	0.37	0.99	0.01	0.7	0.71	0.38	0.83	0.7	0.28	0.88	0.83	0.21	0.54	0.44	0.66	0.42	0.36	0.57	1.0	0.32	0.48	0.11	0.1	0.15	0.0	0.46	0.31	0.14	1.0	0.64	0.47
Otu026_Cylindrotheca	0.27	0.83	0.27	0.78	0.69	0.7	0.7	0.92	0.05	0.48	0.85	0.51	1.0	0.0	0.14	0.74	0.65	0.6	0.85	0.6	0.65	0.08	0.66	0.15	0.32	1.0	0.5	0.25	0.99	0.81	0.75	0.04	0.23	0.42	0.69	0.3	0.1
Otu011_Chrysophyceae_Clade_C_X	0.1	0.04	0.09	0.15	0.2	0.4	0.38	0.92	0.97	0.05	0.55	0.77	0.93	0.73	0.62	0.81	0.81	0.05	0.63	0.77	0.71	0.36	0.12	0.77	0.48	0.5	1.0	0.99	0.92	0.85	0.04	0.8	0.71	0.46	0.9	0.79	0.51
Otu014_Chrysophyceae_Clade_G_X	0.1	0.03	0.42	0.9	0.66	0.35	0.35	0.01	0.63	0.22	0.02	0.34	0.56	0.89	0.42	0.18	0.35	0.16	0.95	0.59	0.35	0.54	0.81	0.53	0.11	0.25	0.99	1.0	0.83	0.02	0.35	0.05	0.29	0.37	0.7	0.39	0.33
Otu035_Chrysophyceae_Clade_G_X	0.85	0.41	0.49	0.24	0.62	0.31	0.13	0.55	0.76	0.58	0.42	0.16	0.63	0.39	0.35	0.58	0.31	0.7	0.09	0.7	0.1	0.31	0.55	0.87	0.1	0.99	0.92	0.83	1.0	0.01	0.0	0.0	0.0	0.47	0.11	0.29	0.48
Otu038_Chrysophyceae_Clade_G_X	0.67	0.01	0.79	0.66	0.34	0.13	0.62	0.11	0.76	0.1	0.41	0.42	0.86	0.81	0.28	0.09	0.89	0.04	0.77	0.69	0.15	0.6	0.17	0.81	0.15	0.81	0.85	0.02	0.01	1.0	0.0	0.04	0.38	0.52	0.05	0.0	0.11
Otu041_Chrysophyceae_Clade_I_X	0.58	0.6	0.5	0.12	0.28	0.09	0.98	0.35	0.03	0.01	0.21	0.92	0.46	0.44	0.01	0.93	0.7	0.04	0.37	0.0	0.47	0.06	0.17	0.33	0.0	0.75	0.04	0.35	0.0	0.0	1.0	0.24	0.42	0.4	0.48	0.02	0.26
Otu018_Pedinellales_X	0.77	0.09	0.77	0.71	0.75	0.28	0.1	0.11	0.96	0.33	0.41	0.31	0.4	0.23	0.0	0.26	0.2	0.48	0.54	0.57	0.34	0.24	0.33	0.01	0.46	0.04	0.8	0.05	0.0	0.04	0.24	1.0	0.14	0.5	0.57	0.25	0.4
Otu007_Pelagomonas	0.91	0.46	0.96	0.71	0.04	0.93	0.89	0.86	0.02	0.08	0.44	0.12	0.48	0.23	0.01	0.07	0.17	0.73	0.59	0.16	0.38	0.14	0.1	0.58	0.31	0.23	0.71	0.29	0.0	0.38	0.42	0.14	1.0	0.47	0.33	0.8	0.0
Otu001_nifH_UCYN_A1	0.0	0.87	0.16	0.39	0.1	0.21	0.49	0.06	0.0	0.05	0.12	0.22	0.32	0.16	0.24	0.0	0.37	0.08	0.03	0.66	0.37	0.68	0.52	0.39	0.14	0.42	0.46	0.37	0.47	0.52	0.4	0.5	0.47	1.0	0.42	0.83	0.06
Otu002_nifH_UCYN_A2	0.66	0.19	0.14	0.12	0.86	0.35	0.61	0.51	1.0	0.97	0.9	0.29	0.01	0.41	0.47	0.36	0.25	0.02	0.62	0.0	0.41	0.46	0.17	0.44	1.0	0.69	0.9	0.7	0.11	0.05	0.48	0.57	0.33	0.42	1.0	0.2	0.03
Otu004_nifH_UCYN_A3	0.47	0.05	0.2	0.91	0.7	0.24	0.05	0.0	0.36	0.02	0.23	0.51	0.47	0.7	0.82	0.55	0.67	0.15	0.18	0.12	0.36	0.1	0.96	0.95	0.64	0.3	0.79	0.39	0.29	0.0	0.02	0.25	0.8	0.83	0.2	1.0	0.44
Otu010_nifH_UCYN_A4	0.0	0.43	0.35	0.39	0.76	0.97	0.01	0.74	0.22	0.11	0.82	0.19	0.35	0.61	0.86	0.27	0.72	0.03	0.68	0.09	0.03	0.02	0.54	0.27	0.47	0.1	0.51	0.33	0.48	0.11	0.26	0.4	0.0	0.06	0.03	0.44	1.0
